subject_name_en,subject_name
Fundamental Japanese Conversation,สนทนาภาษาญี่ปุ่นพื้นฐาน
Korean for Communication,ภาษาเกาหลีเพื่อการสื่อสาร
Exercise for Health,การออกกำลังกายเพื่อสุขภาพ
Sufficiency Economy and Wisdom of Living,ปรัชญาเศรษฐกิจพอเพียงและภูมิปัญญาในการดำเนินชีวิต
Innovation and Technology,นวัตกรรมและเทคโนโลยี
Entrepreneur Small Business Management,การจัดการธุรกิจขนาดย่อมของผู้ประกอบการ
Microeconomics,เศรษฐศาสตร์จุลภาค
Information for Report Writing,สารสนเทศเพื่อการเขียนรายงาน
Introduction to Accounting,การบัญชีชั้นต้น
Computer Application in Office,การประยุกต์ใช้คอมพิวเตอร์ในงานสำนักงาน
Package Program 2,โปรแกรมสำเร็จ 2
Principles of Information System,หลักเบื้องต้นเกี่ยวกับระบบสารสนเทศ
Art of Living,ศิลปะการใช้ชีวิต
Thai for Communication,ภาษาไทยเพื่อการสื่อสาร
Creative Writing,การเขียนเชิงสร้างสรรค์
English for Communication,ภาษาอังกฤษเพื่อการสื่อสาร
Life and Social Skills,การพัฒนาคุณภาพชีวิตและสังคม
Quantitative Decision Making in Business,การตัดสินใจทางธุรกิจเชิงปริมาณ
Production and Operations Management,การจัดการการผลิตและการปฏิบัติการ
Web Design and Development,การออกแบบและพัฒนาเว็บไซต์
Web Programming,การเขียนโปรแกรมบนเว็บ
Multimedia Authoring,การสร้างสื่อผสม
Business Research,วิจัยธุรกิจ
Visual Programming,การเขียนโปรแกรมแบบวิชวล
Organization and Management,องค์การและการจัดการ
Project Management,การบริหารโครงการ
Ornamental Fish and Aquatic Plants,ปลาสวยงามและพรรณไม้น้ำ
Business Law,กฎหมายธุรกิจ
Mushroom Culture,การเพาะเห็ด
Mathematics and Statistics in Daily Life,คณิตศาสตร์และสถิติกับชีวิตประจำวัน
Financial Accounting,การบัญชีการเงิน
Ecotourism,การท่องเที่ยวเชิงนิเวศ
Database Application Software,โปรแกรมประยุกต์ทางฐานข้อมูล
Strategic Management,การจัดการเชิงกลยุทธ์
Academic English,ภาษาอังกฤษเชิงวิชาการ
Process of Thinking and Problem Solving,กระบวนการคิดและการแก้ปัญหา
Necessary Information  Technology in Daily  Life,เทคโนโลยีสารสนเทศที่จำเป็นในชีวิตประจำวัน
English for Life Skills,ภาษาอังกฤษเพื่อทักษะชีวิต
Introduction to Accounting 2,การบัญชีชั้นต้น 2
Introduction to Accounting 1,การบัญชีชั้นต้น 1
Industrial and Labor Legislation,กฏหมายอุตสาหกรรมและแรงงาน
Research Methodology,ระเบียบวิธีวิจัย
Personality Development Techniques,เทคนิคการพัฒนาบุคลิกภาพ
International Relations,ความสัมพันธ์ระหว่างประเทศ
Business Finance,การเงินธุรกิจ
Database Application Software Development,การพัฒนาโปรแกรมทางฐานข้อมูล
Object-Oriented Analysis and Design,การวิเคราะห์และออกแบบเชิงวัตถุ
Special Topical for Software Development,หัวข้อพิเศษเพื่อการพัฒนาซอฟต์แวร์
Software Engineering,วิศวกรรมซอฟต์แวร์
Software Testing,การทดสอบซอฟต์แวร์
Advance Object Oriented Programming,การเขียนโปรแกรมเชิงวัตถุขั้นสูง
Mathematics and Statistics in Daily Life,คณิตศาสตร์และสถิติในชีวิตประจำวัน
Science for Health,วิทยาศาสตร์เพื่อสุขภาพ
Organizational Conflict Management,การบริหารความขัดแย้งในองค์กร
Innovation and Technology Management,การจัดการนวัตกรรมและเทคโนโลยี
English for Everyday Communication,ภาษาอังกฤษเพื่อการสื่อสารในชีวิตประจำวัน
International Business Management,การจัดการธุรกิจระหว่างประเทศ
English for Business Communication,ภาษาอังกฤษเพื่อการสื่อสารธุรกิจ
Human Resource Management,การจัดการทรัพยากรมนุษย์
Principles of Marketing,หลักการตลาด
Package Program 1,โปรแกรมสำเร็จ 1
3D Animation 2,การสร้างภาพเคลื่อนไหว 3 มิติ 2
Game Algorithm and Programing,ขั้นตอนและวิธีการเขียนเกม
3D Animation 1,การสร้างภาพเคลื่อนไหว 3 มิติ 1
Human Computer Interaction,ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์
English for Career,ภาษาอังกฤษเพื่ออาชีพ
Marketing Management,การจัดการการตลาด
Computer Programming 2,การเขียนโปรแกรมคอมพิวเตอร์ 2
Client/Server Database System,ระบบฐานข้อมูลแบบไคล์แอนท์และเซิร์ฟเวอร์
Distribution Channel Management,การจัดการช่องทางการจำหน่าย
Object Oriented Programming,การเขียนโปรแกรมเชิงวัตถุ
Cloud Computing Development,การพัฒนาโปรแกรมการประมวลผลแบบกลุ่มเมฆ
Advance Computer Programming,การเขียนโปรแกรมคอมพิวเตอร์ขั้นสูง
Mobile Application Programming,การเขียนโปรแกรมบนอุปกรณ์เคลื่อนที่
Introduction to Artificial Intelligence,ปัญญาประดิษฐ์เบื้องต้น
Integrated Marketing Communication,การสื่อสารการตลาดแบบบูรณาการ
Fundamental Japanese for Business 1,ภาษาญี่ปุ่นพื้นฐานทางธุรกิจ 1
Activities for Health,กิจกรรมเพื่อสุขภาพ
Quantitative Analysis in Business,การวิเคราะห์ธุรกิจเชิงปริมาณ
Technical English,ภาษาอังกฤษเทคนิค
Fundamental Chinese,ภาษาจีนพื้นฐาน
General Mathematics,คณิตศาสตร์ทั่วไป
Fundamental Korean,ภาษาเกาหลีพื้นฐาน
Principle of Computer Programming,หลักการเขียนโปรแกรมคอมพิวเตอร์
Data Structure and Algorithm,โครงสร้างข้อมูลและอัลกอริทึม
Information System in Organization,ระบบสารสนเทศในองค์กร
Computer Programming,การเขียนโปรแกรมคอมพิวเตอร์
English for Academic Purposes,ภาษาอังกฤษเพื่อจุดมุ่งหมายทางวิชาการ
Sufficiency Economy to Sustainable Development,ปรัชญาเศรษฐกิจพอเพียงเพื่อการพัฒนาที่ยั่งยืน 
General Psychology,จิตวิทยาทั่วไป
Seminar in Management,สัมมนาการจัดการ
electronic marketing,การตลาดอิเล็กทรอนิกส์
Knowledge Management,การจัดการความรู้
Special Topics,หัวข้อพิเศษ
Online Business Management,การจัดการธุรกิจออนไลน์
Systems Analysis and Design,การวิเคราะห์และออกแบบระบบ
Independent Study,การศึกษาเฉพาะบุคคล
English Structure for Business 1,โครงสร้างภาษาอังกฤษทางธุรกิจ 1
Fundamental Japanese for Business 2,ภาษาญี่ปุ่นพื้นฐานทางธุรกิจ 2
Human Resources Management,การบริหารทรัพยากรมนุษย์
Computer Information Systems Project,โครงงานระบบสารสนเทศทางคอมพิวเตอร์
Business Data Communication and Network,การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์ทางธุรกิจ
Retailing Management,การจัดการการค้าปลีก
English through Media and Technology,ภาษาอังกฤษผ่านสื่อและเทคโนโลยี
Elementary Statistics,สถิติพื้นฐาน
Database Management Systems,ระบบจัดการฐานข้อมูล
Artificial Intelligence,ปัญญาประดิษฐ์
Data Communication and Networks,การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์
Science and Life,วิทยาศาสตร์กับชีวิต
Information Systems for Management Planning,ระบบสารสนเทศเพื่อการวางแผนการบริหาร
Arts of Using Thai Language,ศิลปะการใช้ภาษาไทย
Organizational Behavior,พฤติกรรมองค์การ
Modern Management Techniques,เทคนิคการจัดการสมัยใหม่
English in Everyday Use,ภาษาอังกฤษในชีวิตประจำวัน
Human Relations,มนุษยสัมพันธ์
"Society, Economy, Politics and Law",สังคม เศรษฐกิจ การเมือง และกฎหมาย
Decision Support Systems,ระบบสนับสนุนการตัดสินใจ
Computer Typing Techniques 1,เทคนิคการพิมพ์ด้วยคอมพิวเตอร์ 1
Macroeconomics,เศรษฐศาสตร์มหภาค
Statistical Analysis in Business,การวิเคราะห์ธุรกิจเชิงสถิติ
Sports for Health,กีฬาเพื่อสุขภาพ
Recreation for Health Promotion,นันทนาการเพื่อส่งเสริมสุขภาพ
Computer Security,ความมั่นคงของคอมพิวเตอร์
Seminar in Computer Information System,สัมมนาระบบสารสนเทศทางคอมพิวเตอร์
Listening and Speaking English for Business,การฟังและการพูดภาษาอังกฤษทางธุรกิจ
Business Law and Ethics,กฎหมายธุรกิจและจริยธรรม
